Country;Continent;Year;Children;LifeExp;Bussines_and_Law
Albania;Europe;1970;4,91;67,4;59,4
Albania;Europe;1975;4,24;70,6;59,4
Albania;Europe;1980;3,62;73;59,4
Albania;Europe;1985;3,27;74,6;59,4
Albania;Europe;1990;2,98;76,4;59,4
Albania;Europe;1995;2,59;77,5;65
Albania;Europe;2000;2,16;78,4;80
Albania;Europe;2005;1,75;79,5;80
Albania;Europe;2010;1,65;80,7;85,6
Albania;Europe;2015;1,71;81,2;85,6
Albania;Europe;2020;1,7;79,7;91,3
Austria;Europe;1970;2,29;73,4;41,3
Austria;Europe;1975;1,83;74,7;43,8
Austria;Europe;1980;1,65;76;68,1
Austria;Europe;1985;1,47;77,3;70,6
Austria;Europe;1990;1,46;78,9;70,6
Austria;Europe;1995;1,42;80;76,3
Austria;Europe;2000;1,37;81,1;78,8
Austria;Europe;2005;1,41;82,2;85
Austria;Europe;2010;1,44;83,1;91,3
Austria;Europe;2015;1,49;83,6;94,4
Austria;Europe;2020;1,54;83,9;96,9
Belgium;Europe;1970;2,21;74,1;38,1
Belgium;Europe;1975;1,84;75,2;40,6
Belgium;Europe;1980;1,63;76,7;61,3
Belgium;Europe;1985;1,57;77,9;61,3
Belgium;Europe;1990;1,58;79,3;61,3
Belgium;Europe;1995;1,61;80,2;63,8
Belgium;Europe;2000;1,63;80,9;75,6
Belgium;Europe;2005;1,76;81,9;84,4
Belgium;Europe;2010;1,81;82,6;93,8
Belgium;Europe;2015;1,79;83,1;100
Belgium;Europe;2020;1,81;83;100
Bulgaria;Europe;1970;2,14;73,5;65
Bulgaria;Europe;1975;2,19;73,5;65
Bulgaria;Europe;1980;2,11;73,9;65
Bulgaria;Europe;1985;2;74,3;65
Bulgaria;Europe;1990;1,77;74,8;68,1
Bulgaria;Europe;1995;1,34;74,9;68,1
Bulgaria;Europe;2000;1,18;75;68,1
Bulgaria;Europe;2005;1,34;76,3;91,3
Bulgaria;Europe;2010;1,49;77,4;93,8
Bulgaria;Europe;2015;1,55;78,1;90,6
Bulgaria;Europe;2020;1,62;77,5;90,6
Croatia;Europe;1970;2,01;72,7;58,1
Croatia;Europe;1975;1,99;74,3;58,1
Croatia;Europe;1980;2;74,3;58,1
Croatia;Europe;1985;1,92;74,8;58,1
Croatia;Europe;1990;1,67;76;61,3
Croatia;Europe;1995;1,52;77,3;67,5
Croatia;Europe;2000;1,44;78,1;67,5
Croatia;Europe;2005;1,38;78,8;76,3
Croatia;Europe;2010;1,47;80;93,8
Croatia;Europe;2015;1,47;80,5;93,8
Croatia;Europe;2020;1,44;80,9;93,8
Czech_Republic;Europe;1970;2,06;73;64,4
Czech_Republic;Europe;1975;2,33;74;64,4
Czech_Republic;Europe;1980;2,18;73,9;67,5
Czech_Republic;Europe;1985;1,93;74,8;67,5
Czech_Republic;Europe;1990;1,8;75,4;67,5
Czech_Republic;Europe;1995;1,39;76,7;73,1
Czech_Republic;Europe;2000;1,12;78,3;73,1
Czech_Republic;Europe;2005;1,3;79,3;73,1
Czech_Republic;Europe;2010;1,47;80,6;88,1
Czech_Republic;Europe;2015;1,52;81,5;91,3
Czech_Republic;Europe;2020;1,6;81,5;93,8
Denmark;Europe;1970;1,95;75,9;71,3
Denmark;Europe;1975;1,92;77;71,3
Denmark;Europe;1980;1,55;77,2;71,3
Denmark;Europe;1985;1,45;77,5;76,3
Denmark;Europe;1990;1,67;77,7;78,8
Denmark;Europe;1995;1,81;77,8;81,9
Denmark;Europe;2000;1,77;79,1;91,3
Denmark;Europe;2005;1,8;80,4;91,3
Denmark;Europe;2010;1,88;81,3;97,5
Denmark;Europe;2015;1,79;82,7;100
Denmark;Europe;2020;1,77;83,5;100
Estonia;Europe;1970;2,1;74;53,1
Estonia;Europe;1975;2,11;74,3;55
Estonia;Europe;1980;2,06;74,2;55
Estonia;Europe;1985;2,19;74,1;55
Estonia;Europe;1990;1,94;74,9;55
Estonia;Europe;1995;1,43;74,9;63,8
Estonia;Europe;2000;1,32;76,8;63,8
Estonia;Europe;2005;1,54;78,5;81,9
Estonia;Europe;2010;1,64;80,4;91,3
Estonia;Europe;2015;1,62;81,7;91,3
Estonia;Europe;2020;1,69;82,3;97,5
Finland;Europe;1970;1,83;74,4;65,6
Finland;Europe;1975;1,69;76,1;68,1
Finland;Europe;1980;1,63;77,9;73,1
Finland;Europe;1985;1,64;78,5;73,1
Finland;Europe;1990;1,79;78,9;82,5
Finland;Europe;1995;1,81;80,2;82,5
Finland;Europe;2000;1,73;81;85
Finland;Europe;2005;1,8;82,3;94,4
Finland;Europe;2010;1,87;83,2;97,5
Finland;Europe;2015;1,8;84,2;97,5
Finland;Europe;2020;1,79;84,7;97,5
France;Europe;1970;2,49;75,8;53,8
France;Europe;1975;2,06;76,9;59,4
France;Europe;1980;1,84;78,4;62,5
France;Europe;1985;1,84;79,4;65,6
France;Europe;1990;1,75;81;76,9
France;Europe;1995;1,72;81,9;86,3
France;Europe;2000;1,82;82,8;86,3
France;Europe;2005;1,94;83,8;91,9
France;Europe;2010;1,99;84,7;97,5
France;Europe;2015;1,98;85,2;100
France;Europe;2020;1,97;85,2;100
Germany;Europe;1970;2,04;73,5;62,5
Germany;Europe;1975;1,56;74,5;62,5
Germany;Europe;1980;1,47;76,1;65,6
Germany;Europe;1985;1,45;77,5;65,6
Germany;Europe;1990;1,36;78,4;71,3
Germany;Europe;1995;1,31;79,7;74,4
Germany;Europe;2000;1,35;81;76,9
Germany;Europe;2005;1,35;82;79,4
Germany;Europe;2010;1,39;82,6;94,4
Germany;Europe;2015;1,45;83;94,4
Germany;Europe;2020;1,38;83,6;97,5
Greece;Europe;1970;2,57;75,3;43,8
Greece;Europe;1975;2,5;76;43,8
Greece;Europe;1980;2,27;77,3;43,8
Greece;Europe;1985;1,81;78,6;70,6
Greece;Europe;1990;1,47;80;70,6
Greece;Europe;1995;1,37;80,6;73,1
Greece;Europe;2000;1,32;81,3;73,1
Greece;Europe;2005;1,4;82,7;73,1
Greece;Europe;2010;1,41;83,4;88,1
Greece;Europe;2015;1,31;83,6;97,5
Greece;Europe;2020;1,3;83,5;97,5
Hungary;Europe;1970;2,01;72,1;66,9
Hungary;Europe;1975;2,18;72,5;66,9
Hungary;Europe;1980;2,04;72,8;66,9
Hungary;Europe;1985;1,79;73;66,9
Hungary;Europe;1990;1,81;73,8;70
Hungary;Europe;1995;1,56;74,7;69,4
Hungary;Europe;2000;1,31;76;69,4
Hungary;Europe;2005;1,3;77,1;75,6
Hungary;Europe;2010;1,33;78,3;93,8
Hungary;Europe;2015;1,36;78,9;96,9
Hungary;Europe;2020;1,43;79;96,9
Iceland;Europe;1970;3,03;76,6;66,3
Iceland;Europe;1975;2,65;78,8;69,4
Iceland;Europe;1980;2,31;80;75
Iceland;Europe;1985;2,15;80;78,1
Iceland;Europe;1990;2,16;80,8;85,6
Iceland;Europe;1995;2,13;80,2;85,6
Iceland;Europe;2000;2,01;81,6;94,4
Iceland;Europe;2005;2,07;83,2;94,4
Iceland;Europe;2010;2,07;83,8;94,4
Iceland;Europe;2015;1,95;83,6;96,9
Iceland;Europe;2020;1,9;84,1;100
Italy;Europe;1970;2,44;74,5;48,8
Italy;Europe;1975;2,12;75,9;65
Italy;Europe;1980;1,69;77,4;71,3
Italy;Europe;1985;1,42;78,8;71,3
Italy;Europe;1990;1,3;80,3;71,3
Italy;Europe;1995;1,24;81,3;71,3
Italy;Europe;2000;1,25;82,5;76,9
Italy;Europe;2005;1,36;83,7;83,1
Italy;Europe;2010;1,43;84,5;89,4
Italy;Europe;2015;1,46;84,7;94,4
Italy;Europe;2020;1,52;84,7;97,5
Malta;Europe;1970;1,98;71,7;35
Malta;Europe;1975;2,06;73,1;44,4
Malta;Europe;1980;2,03;74,5;44,4
Malta;Europe;1985;1,98;75,9;47,5
Malta;Europe;1990;2,03;78,4;46,9
Malta;Europe;1995;1,97;79,3;57,5
Malta;Europe;2000;1,67;80,6;60
Malta;Europe;2005;1,4;82;72,5
Malta;Europe;2010;1,39;83,7;77,5
Malta;Europe;2015;1,44;85,3;88,8
Malta;Europe;2020;1,5;86,2;88,8
Moldova;Europe;1970;2,58;67,4;53,1
Moldova;Europe;1975;2,48;67,9;58,1
Moldova;Europe;1980;2,48;68,7;58,1
Moldova;Europe;1985;2,64;69,1;58,1
Moldova;Europe;1990;2,41;71,6;58,1
Moldova;Europe;1995;1,9;69;60,6
Moldova;Europe;2000;1,44;70;66,9
Moldova;Europe;2005;1,22;72;70
Moldova;Europe;2010;1,27;73,8;78,8
Moldova;Europe;2015;1,25;73,8;81,9
Moldova;Europe;2020;1,23;74,9;87,5
Netherlands;Europe;1970;2,57;76,5;65,6
Netherlands;Europe;1975;1,66;77,7;68,8
Netherlands;Europe;1980;1,6;79,1;71,9
Netherlands;Europe;1985;1,51;79,6;71,9
Netherlands;Europe;1990;1,62;80,1;83,1
Netherlands;Europe;1995;1,53;80,4;86,3
Netherlands;Europe;2000;1,72;80,6;89,4
Netherlands;Europe;2005;1,71;81,6;89,4
Netherlands;Europe;2010;1,8;82,7;95
Netherlands;Europe;2015;1,75;83,1;97,5
Netherlands;Europe;2020;1,76;83,3;97,5
Norway;Europe;1970;2,5;77,3;63,8
Norway;Europe;1975;1,98;78,1;63,8
Norway;Europe;1980;1,72;79,2;80
Norway;Europe;1985;1,68;79,4;80
Norway;Europe;1990;1,93;79,8;80
Norway;Europe;1995;1,87;80,8;88,1
Norway;Europe;2000;1,85;81,4;88,1
Norway;Europe;2005;1,84;82,5;94,4
Norway;Europe;2010;1,95;83,2;96,9
Norway;Europe;2015;1,84;84,1;96,9
Norway;Europe;2020;1,83;84,9;96,9
Poland;Europe;1970;2,25;72,9;62,5
Poland;Europe;1975;2,22;74,1;64,4
Poland;Europe;1980;2,28;74,2;64,4
Poland;Europe;1985;2,26;74,5;61,3
Poland;Europe;1990;2,08;75,3;61,3
Poland;Europe;1995;1,73;76,4;61,3
Poland;Europe;2000;1,35;77,9;66,9
Poland;Europe;2005;1,3;79,3;66,9
Poland;Europe;2010;1,37;80,5;78,8
Poland;Europe;2015;1,31;81,3;84,4
Poland;Europe;2020;1,29;81;93,8
Portugal;Europe;1970;2,99;70,1;39,4
Portugal;Europe;1975;2,71;72,5;39,4
Portugal;Europe;1980;2,29;75,2;65,6
Portugal;Europe;1985;1,78;76,7;65,6
Portugal;Europe;1990;1,52;77,8;68,8
Portugal;Europe;1995;1,46;79,2;74,4
Portugal;Europe;2000;1,46;80,4;79,4
Portugal;Europe;2005;1,42;81,6;91,9
Portugal;Europe;2010;1,33;83,1;97,5
Portugal;Europe;2015;1,25;84,1;97,5
Portugal;Europe;2020;1,24;84;100
Romania;Europe;1970;2,82;69,9;65
Romania;Europe;1975;2,61;71,5;65
Romania;Europe;1980;2,4;71,4;65
Romania;Europe;1985;2,27;72,2;65
Romania;Europe;1990;1,87;73,1;65
Romania;Europe;1995;1,37;73,6;65
Romania;Europe;2000;1,31;74,9;70
Romania;Europe;2005;1,38;74;87,5
Romania;Europe;2010;1,47;77,7;90,6
Romania;Europe;2015;1,51;78,2;90,6
Romania;Europe;2020;1,56;79,4;90,6
Serbia;Europe;1970;2,39;68,6;67,5
Serbia;Europe;1975;2,36;70,9;67,5
Serbia;Europe;1980;2,35;71,8;67,5
Serbia;Europe;1985;2,29;72;67,5
Serbia;Europe;1990;2,1;73,5;67,5
Serbia;Europe;1995;1,89;74,9;67,5
Serbia;Europe;2000;1,77;74,4;70,6
Serbia;Europe;2005;1,64;75,6;88,1
Serbia;Europe;2010;1,58;77,3;96,9
Serbia;Europe;2015;1,6;78,7;93,8
Serbia;Europe;2020;1,63;78,6;93,8
Slovak_Republic;Europe;1970;2,5;72,9;58,8
Slovak_Republic;Europe;1975;2,5;73,9;58,8
Slovak_Republic;Europe;1980;2,37;74,3;58,8
Slovak_Republic;Europe;1985;2,22;74,8;58,8
Slovak_Republic;Europe;1990;2,04;75,4;61,3
Slovak_Republic;Europe;1995;1,63;76,3;63,8
Slovak_Republic;Europe;2000;1,27;77,3;63,8
Slovak_Republic;Europe;2005;1,25;78,1;76,3
Slovak_Republic;Europe;2010;1,36;79,2;91,3
Slovak_Republic;Europe;2015;1,43;80,1;94,4
Slovak_Republic;Europe;2020;1,49;80,4;85
Slovenia;Europe;1970;2,23;71,9;64,4
Slovenia;Europe;1975;2,2;73,3;64,4
Slovenia;Europe;1980;2,06;74,5;64,4
Slovenia;Europe;1985;1,8;75,3;64,4
Slovenia;Europe;1990;1,48;77,4;64,4
Slovenia;Europe;1995;1,27;78,4;64,4
Slovenia;Europe;2000;1,21;80;64,4
Slovenia;Europe;2005;1,31;81,1;88,1
Slovenia;Europe;2010;1,52;82,7;90,6
Slovenia;Europe;2015;1,61;83,6;90,6
Slovenia;Europe;2020;1,66;83,3;96,9
Spain;Europe;1970;2,87;74,9;33,8
Spain;Europe;1975;2,75;76,3;51,9
Spain;Europe;1980;2,22;78,6;60,6
Spain;Europe;1985;1,63;79,7;73,8
Spain;Europe;1990;1,34;80,6;73,8
Spain;Europe;1995;1,21;81,8;79,4
Spain;Europe;2000;1,23;82,8;94,4
Spain;Europe;2005;1,35;83,6;94,4
Spain;Europe;2010;1,37;85;97,5
Spain;Europe;2015;1,35;85,4;97,5
Spain;Europe;2020;1,42;85;97,5
Sweden;Europe;1970;1,92;77,2;71,3
Sweden;Europe;1975;1,77;77,9;73,8
Sweden;Europe;1980;1,68;78,9;79,4
Sweden;Europe;1985;1,74;79,7;79,4
Sweden;Europe;1990;2,14;80,4;81,9
Sweden;Europe;1995;1,73;81,4;87,5
Sweden;Europe;2000;1,56;82;90,6
Sweden;Europe;2005;1,79;82,7;90,6
Sweden;Europe;2010;1,99;83,5;96,9
Sweden;Europe;2015;1,91;84;100
Sweden;Europe;2020;1,91;84,3;100
Switzerland;Europe;1970;2,12;76,2;43,8
Switzerland;Europe;1975;1,67;78;43,8
Switzerland;Europe;1980;1,51;78,9;43,8
Switzerland;Europe;1985;1,54;80,2;57,5
Switzerland;Europe;1990;1,55;80,7;60
Switzerland;Europe;1995;1,52;81,7;72,5
Switzerland;Europe;2000;1,44;82,6;78,1
Switzerland;Europe;2005;1,43;83,7;83,1
Switzerland;Europe;2010;1,5;84,4;85,6
Switzerland;Europe;2015;1,54;84,9;85,6
Switzerland;Europe;2020;1,56;85,1;85,6
Ukraine;Europe;1970;2,05;72,9;55,6
Ukraine;Europe;1975;2,03;73,6;55
Ukraine;Europe;1980;1,99;73,4;55
Ukraine;Europe;1985;2;73,4;55
Ukraine;Europe;1990;1,81;74,5;55
Ukraine;Europe;1995;1,41;72,6;66,9
Ukraine;Europe;2000;1,15;73,5;66,9
Ukraine;Europe;2005;1,25;74;66,9
Ukraine;Europe;2010;1,45;75,4;75,6
Ukraine;Europe;2015;1,53;78,4;76,3
Ukraine;Europe;2020;1,59;77,4;79,4
United_Kingdom;Europe;1970;2,29;75;51,9
United_Kingdom;Europe;1975;1,83;75,7;63,1
United_Kingdom;Europe;1980;1,73;76,6;69,4
United_Kingdom;Europe;1985;1,81;77,4;72,5
United_Kingdom;Europe;1990;1,81;78,5;78,1
United_Kingdom;Europe;1995;1,76;79,2;78,1
United_Kingdom;Europe;2000;1,68;80,2;86,3
United_Kingdom;Europe;2005;1,76;81,2;88,8
United_Kingdom;Europe;2010;1,89;82,3;95
United_Kingdom;Europe;2015;1,88;82,7;97,5
